TL: training loss, VL: validation loss
THD: training hausdorf distance, VHD: validation hausdorf distance
TDD: training dice distance, VDD: validation dice distance
Epoch: 0, TL: 0.53041, VL: 0.48263 THD: 7.08303, VHD: 6.56613 TDD: 0.00022, VDD: 0.00022, Time: 0:00:38.575918
Epoch: 1, TL: 0.45033, VL: 0.45060 THD: 6.18735, VHD: 6.18677 TDD: 0.00021, VDD: 0.00021, Time: 0:00:38.267162
Epoch: 2, TL: 0.41189, VL: 0.39678 THD: 5.65822, VHD: 5.45496 TDD: 0.00021, VDD: 0.00022, Time: 0:00:38.467382
Epoch: 3, TL: 0.37842, VL: 0.36419 THD: 5.26957, VHD: 5.20177 TDD: 0.00021, VDD: 0.00022, Time: 0:00:38.602259
Epoch: 4, TL: 0.34670, VL: 0.32904 THD: 4.91583, VHD: 4.60673 TDD: 0.00021, VDD: 0.00022, Time: 0:00:38.439553
Epoch: 5, TL: 0.32260, VL: 0.30706 THD: 4.92317, VHD: 4.42390 TDD: 0.00021, VDD: 0.00021, Time: 0:00:38.675679
Epoch: 6, TL: 0.28811, VL: 0.27450 THD: 4.22788, VHD: 4.17348 TDD: 0.00022, VDD: 0.00022, Time: 0:00:38.863850
Epoch: 7, TL: 0.25688, VL: 0.24084 THD: 3.85358, VHD: 3.73891 TDD: 0.00021, VDD: 0.00022, Time: 0:00:38.510944
Epoch: 8, TL: 0.22994, VL: 0.30512 THD: 3.49447, VHD: 5.49757 TDD: 0.00021, VDD: 0.00026, Time: 0:00:38.398022
Epoch: 9, TL: 0.20783, VL: 0.19673 THD: 3.16405, VHD: 3.08293 TDD: 0.00021, VDD: 0.00021, Time: 0:00:38.538296
Epoch: 10, TL: 0.18460, VL: 0.17548 THD: 2.87057, VHD: 2.69325 TDD: 0.00021, VDD: 0.00021, Time: 0:00:38.243636
Epoch: 11, TL: 0.16543, VL: 0.15594 THD: 2.61266, VHD: 2.46432 TDD: 0.00021, VDD: 0.00021, Time: 0:00:38.509409
Epoch: 12, TL: 0.14841, VL: 0.14093 THD: 2.36989, VHD: 2.20240 TDD: 0.00021, VDD: 0.00021, Time: 0:00:38.485548
Epoch: 13, TL: 0.13355, VL: 0.12656 THD: 2.15531, VHD: 2.04107 TDD: 0.00021, VDD: 0.00021, Time: 0:00:38.350357
Epoch: 14, TL: 0.12038, VL: 0.11449 THD: 1.95374, VHD: 1.83742 TDD: 0.00021, VDD: 0.00021, Time: 0:00:38.392199
